Country	News Portal Link	Notes
Indonesia	https://jakartaglobe.id/feed	jakartaglobe.id
Indonesia	https://en.antaranews.com/feed	en.antaranews.com
Indonesia	https://dinsights.katadata.co.id/feed	dinsights.katadata.co.id
Iran	https://www.tehrantimes.com/rss	tehrantimes.com
Iran	https://financialtribune.com/rss.xml	financialtribune.com
Iran	https://en.mehrnews.com/feed	en.mehrnews.com
Iran	https://www.presstv.ir/rss.xml	presstv.ir
Ireland	https://www.rte.ie/feeds/rss/?index=/news/business/	rte.ie
Ireland	https://www.irishtimes.com/feed	irishtimes.com
Ireland	https://www.siliconrepublic.com/feed	siliconrepublic.com
Ireland	https://www.independent.ie/rss	independent.ie
Israel	https://en.globes.co.il/WebService/RssFeed.asmx	en.globes.co.il
Israel	https://www.calcalistech.com/feed	calcalistech.com
Israel	https://www.haaretz.com/feed	haaretz.com
Israel	https://www.jpost.com/feed	jpost.com
Israel	https://www.timesofisrael.com/feed	timesofisrael.com
Italy	https://www.ansa.it/rss.xml	ansa.it
Italy	https://24plus.ilsole24ore.com/feed	24plus.ilsole24ore.com
Italy	https://feeds.thelocal.com/rss/it	thelocal.it
Japan	https://asia.nikkei.com/feed	asia.nikkei.com
Japan	https://www.japantimes.co.jp/feed/topstories/	japantimes.co.jp
Japan	https://english.kyodonews.net/rss/all.xml	english.kyodonews.net
Japan	https://www.asahi.com/feed	asahi.com
Japan	https://japantoday.com/category/business/feed	japantoday.com
Luxembourg	https://www.luxtimes.lu/rss	luxtimes.lu
Malaysia	https://theedgemalaysia.com/feed	theedgemalaysia.com
Malaysia	https://www.thestar.com.my/feed	thestar.com.my
Malaysia	https://www.nst.com.my/feed	nst.com.my
Malaysia	https://www.malaymail.com/feed	malaymail.com
Malaysia	https://www.freemalaysiatoday.com/feed	freemalaysiatoday.com
Maldives	https://edition.mv/feed	edition.mv
Maldives	https://mfr.mv/feed	mfr.mv
Maldives	https://corporatemaldives.com/feed/	corporatemaldives.com
Mexico	https://mexiconewsdaily.com/rss	mexiconewsdaily.com
Mexico	https://mexicobusiness.news/feed	mexicobusiness.news
Mexico	http://www.eluniversal.com.mx/rss/finanzas.xml	eluniversal.com.mx
Monaco	https://monacolife.net/rss	monacolife.net
Monaco	https://news.mc/feed/	news.mc
Myanmar	https://www.gnlm.com.mm/feed/	gnlm.com.mm
Myanmar	https://www.irrawaddy.com/feed	irrawaddy.com
Myanmar	https://www.frontiermyanmar.net/en/category/business/feed/	frontiermyanmar.net
Nepal	https://kathmandupost.com/rss	kathmandupost.com
Nepal	https://thehimalayantimes.com/feed	thehimalayantimes.com
Nepal	https://newbusinessage.com/feed/	newbusinessage.com
Nepal	https://english.onlinekhabar.com/rss	english.onlinekhabar.com
Netherlands	https://www.dutchnews.nl/feed	dutchnews.nl
Netherlands	https://nltimes.nl/rss	nltimes.nl
Netherlands	?rss	fd.nl
New Zealand	https://www.nzherald.co.nz/feed	nzherald.co.nz
New Zealand	https://www.stuff.co.nz/feed	stuff.co.nz
New Zealand	https://www.nbr.co.nz/feed	nbr.co.nz
New Zealand	https://www.interest.co.nz/rss	interest.co.nz
New Zealand	https://businessdesk.co.nz/feed	businessdesk.co.nz
Nigeria	https://businessday.ng/feed/	businessday.ng
Nigeria	https://nairametrics.com/feed/	nairametrics.com
Nigeria	https://guardian.ng/category/business-services/feed/	guardian.ng
Nigeria	https://www.vanguardngr.com/rss	vanguardngr.com
Nigeria	https://www.proshareng.com/feed	proshareng.com
Norway	https://www.dn.no/rss	dn.no
Norway	https://www.newsinenglish.no/feed/	newsinenglish.no
Norway	https://feeds.thelocal.com/rss/no	thelocal.no
Norway	https://e24.no/rss	e24.no
Pakistan	https://www.brecorder.com/rss	brecorder.com
Pakistan	https://www.dawn.com/feed	dawn.com
Pakistan	https://profit.pakistantoday.com.pk/feed/	profit.pakistantoday.com.pk
Pakistan	https://www.thenews.com.pk/feed	thenews.com.pk
Pakistan	https://propakistani.pk/feed	propakistani.pk
Philippines	https://www.bworldonline.com/feed	bworldonline.com
Philippines	https://www.philstar.com/feed	philstar.com
Philippines	https://business.inquirer.net/feed	business.inquirer.net
Philippines	https://www.rappler.com/feed/	rappler.com
Philippines	https://mb.com.ph/rss-feed	mb.com.ph
Poland	https://www.thefirstnews.com/feed	thefirstnews.com
Poland	https://notesfrompoland.com/feed/	notesfrompoland.com
Poland	https://wbj.pl/feed	wbj.pl
Portugal	https://echoboomer.pt/feed	echoboomer.pt
Portugal	https://www.portugalresident.com/rss	portugalresident.com
Qatar	https://thepeninsulaqatar.com/feed	thepeninsulaqatar.com
Qatar	https://dohanews.co/rss	dohanews.co
Romania	https://www.romania-insider.com/feed	romania-insider.com
Romania	https://business-review.eu/feed	business-review.eu
Romania	https://www.romaniajournal.ro/feed/	romaniajournal.ro
Romania	https://www.nineoclock.ro/feed/	nineoclock.ro
Russia	https://www.themoscowtimes.com/feed	themoscowtimes.com
Russia	https://tass.com/feed	tass.com
Russia	https://interfax.com/feed	interfax.com
Saudi Arabia	https://www.arabnews.com/rss	arabnews.com
Saudi Arabia	https://saudigazette.com.sa/rssFeed/74	saudigazette.com.sa
Saudi Arabia	https://www.argaam.com/feed	argaam.com
Saudi Arabia	https://www.zawya.com/sitemaps/en/rss	zawya.com
Singapore	https://www.businesstimes.com.sg/feed	businesstimes.com.sg
Singapore	https://www.straitstimes.com/news/business/rss.xml	straitstimes.com
Singapore	https://www.channelnewsasia.com/feed	channelnewsasia.com
Singapore	https://sbr.com.sg/feed	sbr.com.sg
Singapore	https://www.dealstreetasia.com/feed	dealstreetasia.com
South Africa	https://www.businesslive.co.za/feed	businesslive.co.za
South Africa	https://feeds.24.com/articles/business/topstories/rss	news24.com
South Africa	https://www.moneyweb.co.za/feed	moneyweb.co.za
South Africa	https://www.dailymaverick.co.za/feed	dailymaverick.co.za
South Africa	https://www.engineeringnews.co.za/feeds/latest-news.xml	engineeringnews.co.za
South Korea	https://en.yna.co.kr/RSS/news.xml	en.yna.co.kr
South Korea	https://www.koreaherald.com/rss/newsAll	koreaherald.com
South Korea	https://pulsenews.co.kr/feed	pulsenews.co.kr
South Korea	https://feeds.buzzsprout.com/1701220.rss	koreajoongangdaily.joins.com
South Korea	https://feed.koreatimes.co.kr/k/allnews.xml	koreatimes.co.kr
Spain	https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/in-english	english.elpais.com
Spain	https://feeds.thelocal.com/rss/es	thelocal.es
Spain	https://www.merca2.es/feed	merca2.es
Sri Lanka	https://www.ft.lk/feed	ft.lk
Sri Lanka	https://www.lankabusinessonline.com/feed/	lankabusinessonline.com
Sri Lanka	https://economynext.com/feed/	economynext.com
Sri Lanka	http://island.lk/feed/	island.lk
Sweden	https://www.thelocal.se/feed/	thelocal.se
Sweden	https://www.di.se/feed	di.se
Sweden	https://www.stjernan.se/feed	stjernan.se
Sweden	https://www.investstockholm.com/feed	investstockholm.com
Switzerland	https://www.swissinfo.ch/feed	swissinfo.ch
Switzerland	https://feeds.thelocal.com/rss/ch	thelocal.ch
Switzerland	https://www.finews.com/news/english-news?format=feed&type=rss	finews.com
Switzerland	https://genevasolutions.news/feed	genevasolutions.news
Syria	https://sana.sy/en/?feed=rss2	sana.sy
Syria	https://english.enabbaladi.net/archives/category/economy/feed/	english.enabbaladi.net
Syria	https://www.syria-report.com/feed	syria-report.com
Taiwan	https://www.taipeitimes.com/feed	taipeitimes.com
Taiwan	https://focustaiwan.tw/feed	focustaiwan.tw
Taiwan	https://www.taiwannews.com.tw/feed	taiwannews.com.tw
Taiwan	https://www.digitimes.com/rss/daily.xml	digitimes.com
Thailand	https://www.bangkokpost.com/rss	bangkokpost.com
Thailand	https://www.nationthailand.com/feed	nationthailand.com
Thailand	https://www.thaienquirer.com/feed/	thaienquirer.com
Turkey	https://www.dailysabah.com/rss	dailysabah.com
Turkey	https://www.hurriyetdailynews.com/rss	hurriyetdailynews.com
Turkey	https://www.aa.com.tr/en/rss/	aa.com.tr
Turkey	https://www.duvarenglish.com/feed	duvarenglish.com
Ukraine	https://kyivindependent.com/feed	kyivindependent.com
Ukraine	https://en.interfax.com.ua/feed	en.interfax.com.ua
Ukraine	https://www.ukrinform.net/rss//rubric-economy	ukrinform.net
UAE	https://www.thenationalnews.com/business/rss	thenationalnews.com
UAE	https://gulfnews.com/feed	gulfnews.com
UAE	https://www.arabianbusiness.com/feed	arabianbusiness.com
UAE	https://www.wam.ae/feed	wam.ae
United Kingdom	https://www.cityam.com/feed/	cityam.com
United Kingdom	https://www.telegraph.co.uk/feed	telegraph.co.uk
United Kingdom	https://feeds.bbci.co.uk/news/business/rss.xml	bbc.com
United States	https://feeds.bloomberg.com/markets/news.rss	bloomberg.com
United States	https://www.cnbc.com/id/10001147/device/rss/rss.html	cnbc.com
United States	https://www.forbes.com/feed	forbes.com
United States	https://feeds.businessinsider.com/custom/all	businessinsider.com
Vatican City	https://www.vaticannews.va/en.rss.xml	vaticannews.va
Vietnam	https://e.vnexpress.net/feed	e.vnexpress.net
Vietnam	https://vietnamnews.vn/feed	vietnamnews.vn
Vietnam	https://vir.com.vn/rss_feed/	vir.com.vn
Vietnam	https://english.thesaigontimes.vn/feed/	english.thesaigontimes.vn
Vietnam	https://tuoitre.vn/rss.htm	tuoitrenews.vn
International	https://hbr.org/feed	hbr.org
International	https://fortune.com/feed	fortune.com
International	https://qz.com/feed	qz.com
International	https://www.project-syndicate.org/feed	project-syndicate.org
International	https://techcrunch.com/feed/	techcrunch.com
International	https://www.theafricareport.com/feed/	theafricareport.com
International	https://african.business/feed/	african.business
International	https://www.meed.com/feed	meed.com
International	https://thediplomat.com/feed	thediplomat.com
International	https://www.euronews.com/feed	euronews.com
International	https://www.fastcompany.com/latest/rss	fastcompany.com
International	https://www.entrepreneur.com/feed	entrepreneur.com
International	https://www.technologyreview.com/feed	technologyreview.com
International	https://seekingalpha.com/feed	seekingalpha.com
International	https://venturebeat.com/feed/	venturebeat.com
International	https://www.coindesk.com/feed	coindesk.com
International	https://oilprice.com/rss.xml	oilprice.com
International	https://www.weforum.org/feed	weforum.org
International	https://www.foreignaffairs.com/rss.xml	foreignaffairs.com
International	https://sifted.eu/feed	sifted.eu
International	https://www.dealstreetasia.com/feed	dealstreetasia.com
International	https://www.businessoffashion.com/arc/outboundfeeds/rss/	businessoffashion.com
International	https://skift.com/feed	skift.com
International	https://www.morningstar.com/feed	morningstar.com
International	https://www.ibtimes.com/rss	ibtimes.com
International	https://www.yicaiglobal.com/feed	yicaiglobal.com
International	https://www.intellinews.com/feed/	intellinews.com
International	https://www.thebanker.com/feed	thebanker.com
International	https://www.pionline.com/feed	pionline.com
International	https://www.institutionalinvestor.com/rss.xml	institutionalinvestor.com
International	https://www.privateequityinternational.com/feed	privateequityinternational.com
International	https://variety.com/rss	variety.com
International	https://adage.com/feed	adage.com
United States	https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml	WSJ Business
United States	https://feeds.bloomberg.com/markets/news.rss	Bloomberg
United Kingdom	https://www.ft.com/?format=rss	Financial Times
Asia-Pacific	https://www.scmp.com/rss/91/feed	SCMP Economy
United States	https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100003114	CNBC
Bangladesh	https://en.prothomalo.com/feed	Prothom Alo
Bangladesh	https://bdnews24.com/business/?widgetName=rssfeed&widgetId=1150&getXml=1	bdnews24
Bangladesh	https://www.tbsnews.net/rss.xml	The Business Standard
India	https://economictimes.indiatimes.com/rssfeedstopstories.cms	Economic Times
Asia-Pacific	https://www.straitstimes.com/news/business/rss.xml	Straits Times
Global	https://news.un.org/feed/subscribe/en/news/topic/economic-development/feed/rss.xml	UN News
Asia-Pacific	https://thediplomat.com/feed/	The Diplomat
United Kingdom	https://feeds.bbci.co.uk/news/business/rss.xml	BBC Business
Global	https://www.aljazeera.com/xml/rss/all.xml	Al Jazeera Economy
Global	https://rss.dw.com/xml/rss-en-bus	DW Business
